DEBUG 2024-11-25 03:43:42,081 autoreload File C:\Python312\Lib\site-packages\django\core\files\locks.py first seen with mtime 1727866487.8425636
DEBUG 2024-11-25 03:43:42,081 autoreload File C:\Python312\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1727866487.9471383
DEBUG 2024-11-25 03:43:42,082 autoreload File C:\Python312\Lib\site-packages\corsheaders\apps.py first seen with mtime 1727873259.6452982
DEBUG 2024-11-25 03:43:42,082 autoreload File C:\Python312\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1727866486.3337922
DEBUG 2024-11-25 03:43:42,082 autoreload File C:\Python312\Lib\decimal.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,082 autoreload File C:\Python312\Lib\traceback.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,082 autoreload File C:\Python312\Lib\http\cookies.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,082 autoreload File C:\Python312\Lib\xml\parsers\expat.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,082 autoreload File C:\Python312\Lib\site-packages\django\db\transaction.py first seen with mtime 1727866487.8878925
DEBUG 2024-11-25 03:43:42,083 autoreload File C:\Python312\Lib\gzip.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,083 autoreload File C:\Python312\Lib\site-packages\rest_framework\utils\field_mapping.py first seen with mtime 1727866912.4293883
DEBUG 2024-11-25 03:43:42,084 autoreload File C:\Python312\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1727866487.8527224
DEBUG 2024-11-25 03:43:42,084 autoreload File C:\Python312\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1727866487.8505657
DEBUG 2024-11-25 03:43:42,085 autoreload File C:\Python312\Lib\site-packages\django\middleware\security.py first seen with mtime 1727866488.0890512
DEBUG 2024-11-25 03:43:42,085 autoreload File C:\Python312\Lib\site-packages\sqlparse\cli.py first seen with mtime 1727866334.4278224
DEBUG 2024-11-25 03:43:42,086 autoreload File C:\Python312\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1727866334.4311113
DEBUG 2024-11-25 03:43:42,086 autoreload File C:\Python312\Lib\site-packages\PyPDF2\_codecs\pdfdoc.py first seen with mtime 1732432751.2664518
DEBUG 2024-11-25 03:43:42,086 autoreload File C:\Python312\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1727866485.7265615
DEBUG 2024-11-25 03:43:42,087 autoreload File C:\Python312\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1727866487.836564
DEBUG 2024-11-25 03:43:42,087 autoreload File C:\Python312\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1727866486.3483067
DEBUG 2024-11-25 03:43:42,087 autoreload File C:\Python312\Lib\zoneinfo\_common.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,087 autoreload File C:\Python312\Lib\copy.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,088 autoreload File C:\Python312\Lib\asyncio\format_helpers.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,088 autoreload File C:\Python312\Lib\wsgiref\handlers.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,088 autoreload File C:\Python312\Lib\site-packages\PyPDF2\generic\_rectangle.py first seen with mtime 1732432751.2746546
DEBUG 2024-11-25 03:43:42,088 autoreload File C:\Python312\Lib\site-packages\django\utils\hashable.py first seen with mtime 1727866488.1368828
DEBUG 2024-11-25 03:43:42,090 autoreload File C:\Python312\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1727866488.093549
DEBUG 2024-11-25 03:43:42,091 autoreload File C:\Python312\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1727866485.725576
DEBUG 2024-11-25 03:43:42,092 autoreload File C:\Python312\Lib\site-packages\django\core\validators.py first seen with mtime 1727866487.823224
DEBUG 2024-11-25 03:43:42,093 autoreload File C:\Python312\Lib\site-packages\django\forms\fields.py first seen with mtime 1727866488.024866
DEBUG 2024-11-25 03:43:42,093 autoreload File C:\Python312\Lib\site-packages\PyPDF2\papersizes.py first seen with mtime 1732432751.261037
DEBUG 2024-11-25 03:43:42,093 autoreload File C:\Python312\Lib\urllib\parse.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,093 autoreload File C:\Python312\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1727866487.834564
DEBUG 2024-11-25 03:43:42,094 autoreload File C:\Python312\Lib\ast.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,094 autoreload File C:\Python312\Lib\site-packages\rest_framework\apps.py first seen with mtime 1727866912.2475893
DEBUG 2024-11-25 03:43:42,094 autoreload File C:\Python312\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1727866488.0004177
DEBUG 2024-11-25 03:43:42,094 autoreload File C:\Python312\Lib\dis.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,095 autoreload File C:\Python312\Lib\re\__init__.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,095 autoreload File C:\Python312\Lib\site-packages\django\forms\renderers.py first seen with mtime 1727866488.0278697
DEBUG 2024-11-25 03:43:42,095 autoreload File C:\Python312\Lib\site-packages\django\template\response.py first seen with mtime 1727866488.09855
DEBUG 2024-11-25 03:43:42,095 autoreload File C:\Python312\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1727866486.3367915
DEBUG 2024-11-25 03:43:42,095 autoreload File C:\Python312\Lib\email\feedparser.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,095 autoreload File C:\Python312\Lib\site-packages\django\utils\timezone.py first seen with mtime 1727866488.147382
DEBUG 2024-11-25 03:43:42,095 autoreload File C:\Python312\Lib\operator.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,095 autoreload File C:\Python312\Lib\urllib\response.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,095 autoreload File C:\Python312\Lib\_compression.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,097 autoreload File C:\Python312\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1727866487.8647227
DEBUG 2024-11-25 03:43:42,097 autoreload File C:\Python312\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1727866487.9571402
